student_id,gender,ethnicity,city,district,program_start,program_status,programEnd,grad_date,feeder_id
1,F,Creole,Belmopan City,Cayo,9/26/2000,Dropped,,,12
4,F,Creole,Belize City,BELIZE,8/20/2001,Graduated,5/27/2004,5/27/2004,12
89,M,Creole,Belize City,BELIZE,1/17/2005,Terminated,,,13
113,M,Creole,Belmopan City,Cayo,8/20/2001,Terminated,,,13
551,M,Mestizo,BELMOPAN,Cayo,8/20/2008,Transferred,,,13
639,M,Creole,Cayo,BELIZE,8/12/2013,Terminated,,,30
653,M,Creole,Belize City,BELIZE,8/1/2001,Terminated,1/15/2002,1/15/2002,13
749,M,East Indian,Santa Elena Town,Cayo,8/13/2007,Terminated,,,13
1217,F,Mestizo,Cayo,Cayo,1/18/2001,Graduated,5/27/2004,5/27/2004,10
1303,M,Garifuna,DANGRIGA TOWN,STANN CREEK,8/19/2002,Graduated,5/19/2006,5/19/2006,13
1353,M,East Indian,CAMALOTE VILLAGE,Cayo,8/20/2001,Dropped,,,30
1652,M,Creole,Belmopan City,Cayo,8/20/2001,Terminated,,,51
2030,F,Other,Cayo,Cayo,1/19/2002,Dropped,,,11
2077,M,Creole,Belize City,BELIZE,8/20/2001,Terminated,,,22
2158,M,Garifuna,Belmopan City,Cayo,3/25/2011,Graduated,5/16/2016,5/16/2016,25
2515,M,Mestizo,ORANGE WALK,ORANGE WALK,8/13/2007,Transferred,,,10
2694,M,Creole,,Cayo,8/1/2022,Dropped,,,11
2788,M,Creole,Belmopan City,Cayo,5/27/2011,Terminated,,,13
2792,M,Creole,Belmopan City,Cayo,1/16/2006,Graduated,5/19/2006,5/19/2006,13
3136,M,Creole,Belize City,BELIZE,8/19/2013,Terminated,,,10
3301,M,Mestizo,Belize City,BELIZE,8/20/2001,Terminated,,,
3573,M,Mayan,ROARING CREEK VILLAGE,Cayo,8/19/2002,Dropped,,,30
3593,F,Mestizo,COROZAL TOWN,COROZAL,8/6/2002,Dropped,,,10
3641,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,1/19/2009,Terminated,,,13
3845,F,Mestizo,Belmopan City,Cayo,8/6/2002,Graduated,12/11/2004,12/11/2004,33
3864,M,Creole,LADYVILLE VILLAGE,BELIZE,7/30/2004,Dropped,,,
3874,M,Creole,Belize City,BELIZE,8/17/2009,Transferred,,,13
3880,F,Creole,PUNTA GORDA,TOLEDO,8/6/2002,Dropped,,,10
4258,M,Creole,Belize City,BELIZE,8/14/2006,Graduated,5/24/2011,5/24/2011,10
4369,M,Creole,DANGRIGA TOWN,STANN CREEK,5/18/2010,Dropped,,,13
4395,M,Ketchi,Belmopan City,Cayo,8/15/2005,Dropped,,,13
4396,F,Garifuna,PUNTA GORDA,TOLEDO,8/18/2008,Transferred,,,13
4407,M,Other,Belize City,BELIZE,8/16/2002,Graduated,5/30/2005,5/30/2005,
4446,F,Other,Belmopan City,Cayo,8/16/2004,Graduated,5/19/2006,5/19/2006,13
4484,M,Mestizo,,Cayo,8/18/2003,Graduated,5/30/2005,5/30/2005,13
4508,F,Garifuna,PUNTA GORDA,TOLEDO,1/13/2003,Dropped,,,
4518,M,Creole,Belmopan City,Cayo,8/18/2003,Graduated,5/30/2005,5/30/2005,13
4538,M,Oriental,Belize City,BELIZE,1/13/2003,Graduated,5/19/2006,5/19/2006,58
4566,M,Mestizo,Belmopan City,Cayo,1/13/2003,Graduated,5/19/2006,5/19/2006,7
4584,M,Creole,Belize City,BELIZE,8/18/2008,Terminated,,,13
4602,M,Mayan,Belmopan City,Cayo,8/18/2003,Graduated,5/19/2008,5/19/2008,30
4639,M,Mestizo,Belmopan City,Cayo,8/18/2003,Graduated,5/19/2008,5/19/2008,30
4672,F,Mestizo,,BELIZE,8/18/2003,Graduated,5/19/2006,5/19/2006,27
4699,M,Creole,,Cayo,8/18/2003,Dropped,,,22
4706,M,Creole,Belmopan City,Cayo,1/1/2021,In Process,,,13
4716,M,Mestizo,BELMOPAN,Cayo,8/16/2004,Graduated,5/18/2007,5/18/2007,13
4751,M,Mestizo,,BELIZE,8/18/2003,Dropped,,,20
4758,M,Garifuna,Belmopan City,Cayo,8/18/2003,Graduated,5/19/2008,5/19/2008,36
4788,M,Creole,Belize City,BELIZE,8/13/2007,Terminated,,,10
4798,F,East Indian,LADYVILLE VILLAGE,BELIZE,8/18/2003,Terminated,,,12
4818,M,Creole,Belize City,BELIZE,8/18/2003,Terminated,,,20
4829,M,Mestizo,Belize City,BELIZE,8/18/2003,Terminated,,,40
4859,F,Creole,Belize City,BELIZE,8/13/2007,Dropped,,,10
4869,M,Mestizo,SAN NARCISO VILLAGE,COROZAL,8/18/2003,Terminated,,,28
4880,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,8/18/2003,Graduated,5/19/2006,5/19/2006,36
4920,F,Garifuna,Belize City,BELIZE,8/18/2008,Transferred,,,13
4929,M,Ketchi,Belmopan City,Cayo,1/14/2008,Terminated,,,45
4934,M,Garifuna,COROZAL DISTRICT,COROZAL,8/18/2003,Graduated,5/19/2008,5/19/2008,72
4963,F,Oriental,DANGRIGA TOWN,STANN CREEK,8/18/2003,Graduated,5/30/2005,5/30/2005,25
4987,M,Creole,Belmopan City,Cayo,8/18/2003,Graduated,5/19/2006,5/19/2006,30
5016,M,Creole,Belize City,BELIZE,8/18/2003,Terminated,,,10
5031,M,Garifuna,Belize City,BELIZE,12/15/2005,Terminated,,,40
5055,M,Mayan,TOLEDO DISTRICT,TOLEDO,1/17/2011,Dropped,,,13
5091,M,Mestizo,,Cayo,8/18/2003,Graduated,5/30/2005,5/30/2005,27
5116,M,Creole,Belmopan City,Cayo,8/13/2007,Terminated,,,13
5125,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/18/2003,Terminated,,,32
5142,F,Creole,ROARING CREEK VILLAGE,Cayo,1/17/2005,Dropped,,,30
5148,M,Mayan,ROARING CREEK VILLAGE,Cayo,8/18/2003,Graduated,12/7/2006,12/7/2006,10
5165,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/18/2003,Dropped,,,71
5167,M,Mestizo,Belmopan City,Cayo,8/16/2004,Terminated,,,13
5181,F,Mestizo,SANTA ELENA,Cayo,8/18/2003,Terminated,,,27
5207,M,Mestizo,BULLET TREE FALLS,Cayo,8/18/2003,Graduated,5/19/2006,5/19/2006,21
5237,F,Creole,DANGRIGA TOWN,STANN CREEK,8/18/2003,Graduated,5/30/2005,5/30/2005,25
5261,M,Oriental,Belmopan City,Cayo,8/18/2003,Terminated,,,
5265,F,Creole,Belmopan City,Cayo,8/18/2003,Terminated,,,30
5287,M,Oriental,BENQUE VIEJO DEL CARMEN,Cayo,8/18/2003,Graduated,12/7/2006,12/7/2006,13
5320,F,Oriental,Belmopan City,Cayo,8/17/2009,Graduated,5/24/2011,5/24/2011,13
5337,F,Mestizo,Belmopan City,Cayo,8/18/2003,Dropped,,,30
5359,M,Oriental,ORANGE WALK,ORANGE WALK,8/15/2005,Dropped,,,10
5385,F,Creole,Belmopan City,Cayo,8/14/2006,Terminated,,,13
5388,M,Creole,CAMALOTE VILLAGE,Cayo,1/20/2014,Terminated,,,6
5394,M,Creole,Belize City,BELIZE,1/17/2005,Dropped,,,10
5400,F,Creole,Belmopan City,Cayo,6/29/2005,Terminated,,,13
5455,M,Mestizo,Belize City,BELIZE,7/30/2004,Terminated,,,
5464,M,Garifuna,Belize City,BELIZE,8/1/2019,In Process,,,22
5483,M,Creole,HATTIEVILLE VILLAGE,BELIZE,5/27/2012,Terminated,,,20
5501,M,Other,Belize City,BELIZE,8/15/2005,Graduated,5/18/2007,5/18/2007,10
5523,M,Creole,Belize City,BELIZE,7/30/2004,Terminated,,,
5529,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,8/16/2004,Terminated,,,
5546,F,Creole,,ORANGE WALK,8/16/2004,Terminated,,,
5555,M,Mestizo,ORANGE WALK TOWN,ORANGE WALK,7/30/2004,Terminated,,,
5570,M,Creole,Belize City,BELIZE,8/18/2008,Transferred,,,10
5576,F,Mayan,TOLEDO DISTRICT,TOLEDO,8/16/2004,Dropped,,,18
5595,F,Mayan,TOLEDO DISTRICT,TOLEDO,7/30/2004,Terminated,,,
5606,M,Garifuna,Belize City,BELIZE,7/30/2004,Terminated,,,
5616,M,Other,Belize City,BELIZE,8/16/2004,Graduated,5/19/2006,5/19/2006,
5642,M,Mestizo,,ORANGE WALK,8/15/2005,Dropped,,,13
5661,M,Other,Belmopan City,Cayo,8/16/2004,Graduated,5/19/2006,5/19/2006,
5686,M,Creole,Belmopan City,Cayo,7/30/2004,Terminated,,,
5696,F,Mestizo,Belmopan City,Cayo,8/16/2004,Dropped,,,49
5702,M,Creole,Belmopan City,Cayo,8/18/2008,Terminated,,,30
5713,M,Unknown,Belmopan City,Cayo,8/16/2004,Transferred,,,
5735,M,Mestizo,Belmopan City,Cayo,7/30/2004,Transferred,,,
5763,M,Mestizo,Cayo,Cayo,8/16/2004,Graduated,5/26/2009,5/26/2009,21
5800,M,Creole,Belize City,BELIZE,8/16/2004,Terminated,,,22
5819,M,Oriental,ORANGE WALK TOWN,ORANGE WALK,8/16/2004,Dropped,,,
5826,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,8/16/2004,Dropped,,,
5833,F,Creole,INDEPENDENCE VILLAGE,STANN CREEK,7/30/2004,Terminated,,,
5845,M,Creole,Belmopan City,Cayo,8/16/2004,Graduated,5/18/2007,5/18/2007,30
5874,M,Mestizo,BENQUE VIEJO DEL CARMEN,Cayo,8/16/2004,Graduated,5/19/2006,5/19/2006,
5900,M,Garifuna,Belmopan City,Cayo,8/15/2005,Graduated,5/19/2008,5/19/2008,13
5923,M,Mestizo,Belmopan City,Cayo,8/16/2004,Graduated,5/19/2006,5/19/2006,30
5948,M,Oriental,COROZAL,COROZAL,8/16/2004,Graduated,5/19/2006,5/19/2006,51
